n,l,m,a,w_r,w_i,A_r,A_i
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.265000000000003233e-01,8.138579144219707517e-01,-1.608926952197614613e-01,3.939198909834758844e+00,2.510753043395844153e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.305000000000003268e-01,8.154964354884987054e-01,-1.602929419491197494e-01,3.937770363024229781e+00,2.554030593113547701e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.365000000000003322e-01,8.180209804488971503e-01,-1.593442553863874678e-01,3.935574008453857964e+00,2.618836630370764695e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.405000000000003357e-01,8.197498571873803597e-01,-1.586765976903397879e-01,3.934072929952400877e+00,2.661892459486499274e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.465000000000003411e-01,8.224142481371546909e-01,-1.576175470490368824e-01,3.931763973205757434e+00,2.726108228651722559e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.505000000000003446e-01,8.242392249008380078e-01,-1.568700387630701520e-01,3.930185173803261378e+00,2.768576594354525688e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.565000000000003499e-01,8.270519747136743094e-01,-1.556806315524009166e-01,3.927755461475856524e+00,2.831576294601770294e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.605000000000003535e-01,8.289785397351016050e-01,-1.548383971277648985e-01,3.926093268597560915e+00,2.872981074596040602e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.665000000000003588e-01,8.319473236011010187e-01,-1.534936942711758734e-01,3.923533971115995111e+00,2.933947461592825712e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.705000000000003624e-01,8.339800058827097073e-01,-1.525381725031070557e-01,3.921782319784546278e+00,2.973665442563216965e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.765000000000003677e-01,8.371102475291875011e-01,-1.510071220681032944e-01,3.919084167180508782e+00,3.031527807772782523e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.805000000000003713e-01,8.392513856687662255e-01,-1.499153155650519986e-01,3.917236844239887272e+00,3.068743184443344096e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.865000000000003766e-01,8.425439070937742470e-01,-1.481597961208389325e-01,3.914390662553432598e+00,3.122104990807951508e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.905000000000003801e-01,8.447917285062610526e-01,-1.469038470077818626e-01,3.912441799761289474e+00,3.155760541312867262e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.965000000000003855e-01,8.482393683222898551e-01,-1.448785437737592496e-01,3.909439483149817818e+00,3.202830461463717499e-02
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.934219937583256943e-01,-5.478297505824700764e-01,4.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000052e-03,6.934243901137497890e-01,-5.478286524088655796e-01,3.999999408353664077e+00,2.487294936897154579e-06
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,8.500000000000000611e-03,6.934496973043782209e-01,-5.478170536104374211e-01,3.999993158795645876e+00,2.875358843836925985e-05
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.250000000000000069e-02,6.934819108892249506e-01,-5.478022859916857890e-01,3.999985200127270879e+00,6.218462894565749018e-05
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.850000000000000255e-02,6.935532586457031634e-01,-5.477695642791508002e-01,3.999967558677341550e+00,1.362153338191967548e-04
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.250000000000000611e-02,6.936161876327724407e-01,-5.477406877224377801e-01,3.999951982480788093e+00,2.014952344478576607e-04
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.850000000000001144e-02,6.937336545943130206e-01,-5.476867451700673239e-01,3.999922865980328535e+00,3.233117796781313650e-04
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.250000000000001499e-02,6.938273683884734755e-01,-5.476436731540917924e-01,3.999899598834835146e+00,4.204594052534599475e-04
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.850000000000002032e-02,6.939910842224533694e-01,-5.475683478779442837e-01,3.999858870045240877e+00,5.900969154128434240e-04
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.250000000000002387e-02,6.941156863755647555e-01,-5.475109508994960850e-01,3.999827802288465683e+00,7.191402039080567292e-04
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.850000000000002920e-02,6.943258322076359956e-01,-5.474140159039467823e-01,3.999775269258787347e+00,9.366473061991597562e-04
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,5.250000000000003275e-02,6.944814607621287994e-01,-5.473421205522892574e-01,3.999736254480327879e+00,1.097623113159911391e-03
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,5.850000000000003808e-02,6.947382697770158044e-01,-5.472232821013198745e-01,3.999671669658417361e+00,1.363061662116651050e-03
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,6.250000000000004163e-02,6.949250977237376725e-01,-5.471366698086331803e-01,3.999624524019721239e+00,1.556015548116614815e-03
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,6.850000000000004696e-02,6.952288559387981293e-01,-5.469955652988065520e-01,3.999547583098332471e+00,1.869460261170321786e-03
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,7.250000000000005052e-02,6.954470917908865957e-01,-5.468939707489126612e-01,3.999492084472674680e+00,2.094446217039864621e-03
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,7.850000000000005584e-02,6.957981390045964165e-01,-5.467301660533402385e-01,3.999402424959530133e+00,2.455984211906706190e-03
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,8.250000000000005940e-02,6.960480274887156371e-01,-5.466132752256065430e-01,3.999338311883281261e+00,2.713064314892835172e-03
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,8.850000000000006473e-02,6.964467584068491091e-01,-5.464262614701883569e-01,3.999235511381173946e+00,3.122794537221909670e-03
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,9.250000000000006828e-02,6.967285812738862605e-01,-5.462937092898265679e-01,3.999162481806551206e+00,3.412038529453035283e-03
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,9.850000000000007361e-02,6.971754468159656604e-01,-5.460828990137915895e-01,3.999046055986343440e+00,3.870071056308700859e-03
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.025000000000000772e-01,6.974895237727215536e-01,-5.459342665732246358e-01,3.998963765823015937e+00,4.191555834886908326e-03
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.085000000000000825e-01,6.979850325613611295e-01,-5.456989892156873800e-01,3.998833166069563294e+00,4.698011036330398960e-03
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.125000000000000860e-01,6.983317223249689842e-01,-5.455338005243679511e-01,3.998741227500594686e+00,5.051820041995699721e-03
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.185000000000000914e-01,6.988764423602128462e-01,-5.452732971667655359e-01,3.998595838207791076e+00,5.606827579166327735e-03
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.245000000000000967e-01,6.994509871753935570e-01,-5.449972549200164940e-01,3.998441250689541704e+00,6.191032180457109284e-03
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.285000000000000864e-01,6.998507043560110441e-01,-5.448044326588566966e-01,3.998332953249092991e+00,6.596747701209235669e-03
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.345000000000000917e-01,7.004754974360944964e-01,-5.445017508250175053e-01,3.998162444029730533e+00,7.229728365547749558e-03
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.385000000000000953e-01,7.009089514671609233e-01,-5.442908388148707255e-01,3.998043270627882340e+00,7.668010055458343924e-03
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.445000000000001006e-01,7.015847243629658170e-01,-5.439604979057963696e-01,3.997856034451404916e+00,8.349914457866224049e-03
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.485000000000001041e-01,7.020524250416779743e-01,-5.437307790163273813e-01,3.997725421945096169e+00,8.820862234670913404e-03
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.545000000000001095e-01,7.027799762403927897e-01,-5.433716446322620630e-01,3.997520573442685965e+00,9.551841918045995278e-03
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.585000000000001130e-01,7.032824788093635648e-01,-5.431223219014045256e-01,3.997377903744422589e+00,1.005555758172367239e-02
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.645000000000001183e-01,7.040626762420421070e-01,-5.427331346934977097e-01,3.997154472681418991e+00,1.083576577015910904e-02
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.685000000000001219e-01,7.046005831146884280e-01,-5.424633241639025272e-01,3.996999069404552962e+00,1.137235141802621190e-02
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.745000000000001272e-01,7.054343668200582229e-01,-5.420426883271497465e-01,3.996755995353794333e+00,1.220194043056903495e-02
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.785000000000001308e-01,7.060083294033396850e-01,-5.417514108326896283e-01,3.996587120055555165e+00,1.277149658217299408e-02
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.845000000000001361e-01,7.068967143246053242e-01,-5.412977809083062697e-01,3.996323246436181087e+00,1.365061477166292989e-02
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.885000000000001397e-01,7.075074349200711765e-01,-5.409839526498451123e-01,3.996140094415439936e+00,1.425323814814218742e-02
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.945000000000001450e-01,7.084515138000937462e-01,-5.404956183734968000e-01,3.995854161827130824e+00,1.518202627358486781e-02
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.985000000000001485e-01,7.090997475552068829e-01,-5.401580400917903590e-01,3.995655857426728019e+00,1.581780716416595831e-02
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.045000000000001539e-01,7.101006938792349121e-01,-5.396331089721819740e-01,3.995346496199992270e+00,1.679639408505078507e-02
1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.085000000000001574e-01,7.107872507484923608e-01,-5.392704534877027500e-01,3.995132087557352829e+00,1.746541321847482064e-02
